Hidden Layers,Activation Function,Learning Rate,Epochs,Batch Size,Accuracy
[4],Sigmoid,0.0001,25,128,0.3888888888888889
[4],Sigmoid,0.0001,25,256,0.3333333333333333
[4],Sigmoid,0.0001,25,512,0.3888888888888889
[4],Sigmoid,0.0001,50,16,0.2777777777777778
[4],Sigmoid,0.0001,50,32,0.3888888888888889
[4],Sigmoid,0.0001,50,64,0.2777777777777778
[4],Sigmoid,0.0001,50,128,0.3888888888888889
[4],Sigmoid,0.0001,50,256,0.3333333333333333
[4],Sigmoid,0.0001,50,512,0.3888888888888889
[4],Sigmoid,0.0001,100,16,0.2777777777777778
[4],Sigmoid,0.0001,100,32,0.3055555555555556
[4],Sigmoid,0.0001,100,64,0.2777777777777778
[4],Sigmoid,0.0001,100,128,0.5277777777777778
[4],Sigmoid,0.0001,100,256,0.3333333333333333
[4],Sigmoid,0.0001,100,512,0.4722222222222222
[4],Sigmoid,0.0001,250,16,0.3333333333333333
[4],Sigmoid,0.0001,250,32,0.3333333333333333
[4],Sigmoid,0.0001,250,64,0.3888888888888889
[4],Sigmoid,0.0001,250,128,0.3888888888888889
[4],Sigmoid,0.0001,250,256,0.3888888888888889
[4],Sigmoid,0.0001,250,512,0.3333333333333333
[4],Tanh,10.0,1,16,0.8055555555555556
[4],Tanh,10.0,1,32,0.8888888888888888
[4],Tanh,10.0,1,64,0.7222222222222222
[4],Tanh,10.0,1,128,0.3611111111111111
[4],Tanh,10.0,1,256,0.4166666666666667
[4],Tanh,10.0,1,512,0.08333333333333333
[4],Tanh,10.0,10,16,0.8888888888888888
[4],Tanh,10.0,10,32,0.9722222222222222
[4],Tanh,10.0,10,64,0.8888888888888888
[4],Tanh,10.0,10,128,0.9166666666666666
[4],Tanh,10.0,10,256,0.9444444444444444
[4],Tanh,10.0,10,512,0.9444444444444444
[4],Tanh,10.0,25,16,0.9444444444444444
[4],Tanh,10.0,25,32,0.8888888888888888
[4],Tanh,10.0,25,64,0.9444444444444444
[4],Tanh,10.0,25,128,0.8888888888888888
[4],Tanh,10.0,25,256,0.9722222222222222
[4],Tanh,10.0,25,512,0.9722222222222222
[4],Tanh,10.0,50,16,0.8888888888888888
[4],Tanh,10.0,50,32,1.0
[4],Tanh,10.0,50,64,0.9722222222222222
[4],Tanh,10.0,50,128,0.8888888888888888
[4],Tanh,10.0,50,256,0.9722222222222222
[4],Tanh,10.0,50,512,0.9444444444444444
[4],Tanh,10.0,100,16,0.8888888888888888
[4],Tanh,10.0,100,32,0.9166666666666666
[4],Tanh,10.0,100,64,0.9722222222222222
[4],Tanh,10.0,100,128,0.8888888888888888
[4],Tanh,10.0,100,256,0.9722222222222222
[4],Tanh,10.0,100,512,0.9444444444444444
[4],Tanh,10.0,250,16,0.8611111111111112
[4],Tanh,10.0,250,32,0.9722222222222222
[4],Tanh,10.0,250,64,0.8611111111111112
[4],Tanh,10.0,250,128,0.9444444444444444
[4],Tanh,10.0,250,256,0.9722222222222222
[4],Tanh,10.0,250,512,0.9444444444444444
[4],Tanh,1.0,1,16,0.9722222222222222
[4],Tanh,1.0,1,32,0.9722222222222222
[4],Tanh,1.0,1,64,0.8888888888888888
[4],Tanh,1.0,1,128,0.9166666666666666
[4],Tanh,1.0,1,256,0.75
[4],Tanh,1.0,1,512,0.8611111111111112
[4],Tanh,1.0,10,16,0.9444444444444444
[4],Tanh,1.0,10,32,0.9722222222222222
[4],Tanh,1.0,10,64,0.9722222222222222
[4],Tanh,1.0,10,128,0.9444444444444444
[4],Tanh,1.0,10,256,1.0
[4],Tanh,1.0,10,512,0.9722222222222222
[4],Tanh,1.0,25,16,0.9722222222222222
[4],Tanh,1.0,25,32,0.9722222222222222
[4],Tanh,1.0,25,64,0.9722222222222222
[4],Tanh,1.0,25,128,0.9722222222222222
[4],Tanh,1.0,25,256,0.9722222222222222
[4],Tanh,1.0,25,512,0.9722222222222222
[4],Tanh,1.0,50,16,0.9722222222222222
[4],Tanh,1.0,50,32,0.9722222222222222
[4],Tanh,1.0,50,64,0.9722222222222222
[4],Tanh,1.0,50,128,0.9722222222222222
[4],Tanh,1.0,50,256,0.9722222222222222
[4],Tanh,1.0,50,512,0.9722222222222222
[4],Tanh,1.0,100,16,0.9722222222222222
[4],Tanh,1.0,100,32,0.9722222222222222
[4],Tanh,1.0,100,64,0.9722222222222222
[4],Tanh,1.0,100,128,0.9722222222222222
[4],Tanh,1.0,100,256,0.9722222222222222
[4],Tanh,1.0,100,512,0.9722222222222222
[4],Tanh,1.0,250,16,0.9722222222222222
[4],Tanh,1.0,250,32,0.9722222222222222
[4],Tanh,1.0,250,64,0.9722222222222222
[4],Tanh,1.0,250,128,0.9722222222222222
[4],Tanh,1.0,250,256,0.9722222222222222
[4],Tanh,1.0,250,512,0.9722222222222222
[4],Tanh,0.1,1,16,0.8055555555555556
[4],Tanh,0.1,1,32,0.6111111111111112
[4],Tanh,0.1,1,64,0.2777777777777778
[4],Tanh,0.1,1,128,0.6388888888888888
[4],Tanh,0.1,1,256,0.5555555555555556
[4],Tanh,0.1,1,512,0.3611111111111111
[4],Tanh,0.1,10,16,1.0
[4],Tanh,0.1,10,32,0.9722222222222222
[4],Tanh,0.1,10,64,0.9444444444444444
[4],Tanh,0.1,10,128,0.8055555555555556
[4],Tanh,0.1,10,256,0.8333333333333334
[4],Tanh,0.1,10,512,0.4444444444444444
[4],Tanh,0.1,25,16,0.9722222222222222
[4],Tanh,0.1,25,32,1.0
[4],Tanh,0.1,25,64,1.0
[4],Tanh,0.1,25,128,0.9444444444444444
[4],Tanh,0.1,25,256,0.9722222222222222
[4],Tanh,0.1,25,512,0.8888888888888888
[4],Tanh,0.1,50,16,0.9444444444444444
[4],Tanh,0.1,50,32,0.9722222222222222
[4],Tanh,0.1,50,64,0.9722222222222222
