hidden_layers,activation,learning_rate,batch_size,final_train_loss,final_test_loss
[4],Tanh,0.001,16,2.2774008644951715,2.110968510309855
[4],Tanh,0.001,32,4.0629181385040285,2.9062271118164062
[4],Tanh,0.001,64,3.7085235118865967,2.8998935222625732
[4],Tanh,0.001,128,5.2025933265686035,4.748073577880859
[4],Tanh,0.0001,16,4.969290309482151,4.338769435882568
[4],Tanh,0.0001,32,6.746199893951416,5.250653505325317
[4],Tanh,0.0001,64,6.615351835886638,5.709383487701416
[4],Tanh,0.0001,128,5.151268005371094,4.958823204040527
[8],ReLU,1.0,16,0.238376228345765,0.34293942153453827
[8],ReLU,1.0,32,0.595143711566925,0.7173966467380524
[8],ReLU,1.0,64,2.0758504470189414,0.7875196933746338
[8],ReLU,1.0,128,4.31070351600647,2.6199066638946533
[8],ReLU,0.1,16,0.03151677238444487,0.050894031301140785
[8],ReLU,0.1,32,0.06641309633851052,0.09203603863716125
[8],ReLU,0.1,64,0.05771060101687908,0.07562360912561417
[8],ReLU,0.1,128,0.15849455818533897,0.09666170179843903
[8],ReLU,0.01,16,0.07796822860836983,0.10871909310420354
[8],ReLU,0.01,32,0.1367299437522888,0.15409153327345848
[8],ReLU,0.01,64,0.2049787143866221,0.18442612886428833
[8],ReLU,0.01,128,0.6940310299396515,0.6549589037895203
[8],ReLU,0.001,16,1.8771329985724554,1.2948702971140544
[8],ReLU,0.001,32,4.47885799407959,3.31460177898407
[8],ReLU,0.001,64,3.796168327331543,3.1098501682281494
[8],ReLU,0.001,128,5.2308244705200195,3.9969775676727295
[8],ReLU,0.0001,16,4.482167800267537,3.8934319019317627
[8],ReLU,0.0001,32,4.1927426815032955,3.2674756050109863
[8],ReLU,0.0001,64,5.517707188924153,4.628208160400391
[8],ReLU,0.0001,128,3.29074227809906,3.090602159500122
[8],Sigmoid,1.0,16,0.057106800480849214,0.013013951014727354
[8],Sigmoid,1.0,32,0.1044926479458809,0.05906764231622219
[8],Sigmoid,1.0,64,0.2988368918498357,0.48706257343292236
[8],Sigmoid,1.0,128,0.8244290053844452,0.6492939591407776
[8],Sigmoid,0.1,16,0.024860710319545534,0.017724361503496766
[8],Sigmoid,0.1,32,0.030050061643123627,0.02460799738764763
[8],Sigmoid,0.1,64,0.07030746092398961,0.07336012274026871
[8],Sigmoid,0.1,128,0.20870015770196915,0.11526338011026382
[8],Sigmoid,0.01,16,0.08530295143524806,0.06402527416745822
[8],Sigmoid,0.01,32,0.10606417208909988,0.0619633411988616
[8],Sigmoid,0.01,64,0.5081099271774292,0.34366512298583984
[8],Sigmoid,0.01,128,1.4790580868721008,0.8956515192985535
[8],Sigmoid,0.001,16,4.126505904727512,3.420592705408732
[8],Sigmoid,0.001,32,3.941209316253662,3.1781156063079834
